priority_rank,risk_score,risk_score_100,risk_band,risk_percentile_group,recommended_action,actual_fraud,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,policy_duration_days,claim_to_premium_ratio,injury_claim_ratio,property_claim_ratio,vehicle_claim_ratio,is_night_incident,multi_vehicle_flag
1,0.9989425162726794,99.89,High,Very High,Immediate Review,0,439,56,IN,250/500,500,1082.49,0,FEMALE,PhD,prof-specialty,chess,unmarried,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,12,3,,2,3,,56430,0,6270,50160,Honda,CRV,2014,2291,52.12981182274201,0.0,0.1111111111111111,0.8888888888888888,0,1
2,0.9984640670582768,99.85,High,Very High,Immediate Review,1,231,37,OH,250/500,500,920.81,0,FEMALE,High School,sales,chess,wife,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Hillsdale,14,1,YES,2,0,,71190,0,7910,63280,Mercedes,C300,1997,8464,77.31236628620454,0.0,0.1111111111111111,0.8888888888888888,0,0
3,0.9953442471151326,99.53,High,Very High,Immediate Review,0,140,36,OH,500/1000,2000,979.26,0,FEMALE,JD,transport-moving,cross-fit,own-child,0,-67000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Riverwood,2,4,YES,0,2,YES,72800,14560,14560,43680,Honda,Accord,1998,5343,74.34184996834344,0.2,0.2,0.6,1,1
4,0.9869764758416502,98.7,High,Very High,Immediate Review,0,144,35,IL,100/300,500,1427.46,0,MALE,High School,machine-op-inspct,cross-fit,wife,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Springfield,3,3,,0,0,,87900,17580,8790,61530,Dodge,Neon,1995,7823,61.57790761212223,0.2,0.1,0.7,1,1
5,0.9835064329444996,98.35,High,Very High,Immediate Review,0,381,55,OH,500/1000,500,1459.99,0,FEMALE,MD,other-service,chess,wife,35900,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,8,1,YES,1,2,YES,60600,12120,6060,42420,Accura,TL,2011,8675,41.507133610504184,0.2,0.1,0.7,0,0
6,0.9759725147012092,97.6,High,Very High,Immediate Review,1,463,59,IL,250/500,1000,979.73,0,FEMALE,JD,exec-managerial,yachting,not-in-family,51700,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,SC,Columbus,14,2,,1,2,NO,72400,7240,14480,50680,Chevrolet,Tahoe,1999,7498,73.89791064885223,0.1,0.2,0.7,0,1
7,0.9700851679334178,97.01,High,Very High,Immediate Review,0,322,44,IL,100/300,1000,1156.19,0,FEMALE,College,machine-op-inspct,cross-fit,husband,49900,-62700,Multi-vehicle Collision,Side Collision,Major Damage,Fire,NY,Northbrook,20,3,YES,0,3,,49400,9880,4940,34580,Jeep,Wrangler,2010,3710,42.726541485396,0.2,0.1,0.7,0,1
8,0.9679614769798162,96.8,High,Very High,Immediate Review,1,111,27,OH,250/500,500,1459.97,5000000,MALE,MD,sales,yachting,other-relative,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,Northbend,2,3,NO,1,2,NO,80850,7350,14700,58800,Ford,F150,2011,4541,55.37785022979924,0.0909090909090909,0.1818181818181818,0.7272727272727273,1,1
9,0.9635345281893166,96.35,High,Very High,Immediate Review,0,219,43,IN,100/300,1000,1114.29,0,FEMALE,High School,transport-moving,polo,other-relative,51300,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,VA,Northbrook,1,1,,2,2,YES,66660,6060,6060,54540,Toyota,Highlander,2006,4585,59.82284683520448,0.0909090909090909,0.0909090909090909,0.8181818181818182,1,0
10,0.9629294715871244,96.29,High,Very High,Immediate Review,0,138,30,OH,500/1000,500,1093.07,4000000,FEMALE,PhD,other-service,reading,wife,27700,-72400,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Hillsdale,0,1,,2,2,NO,83160,6930,13860,62370,Volkswagen,Jetta,2011,4745,76.07929958740063,0.0833333333333333,0.1666666666666666,0.75,1,0
